k (m),x (m),y (m)
0.000,0.000,0.000
0.010,0.010,0.002
0.020,0.020,0.004
0.030,0.029,0.006
0.040,0.039,0.008
0.050,0.049,0.010
0.060,0.059,0.012
0.070,0.069,0.014
0.080,0.078,0.016
0.090,0.088,0.018
0.100,0.098,0.021
0.110,0.108,0.023
0.120,0.117,0.025
0.130,0.127,0.027
0.140,0.137,0.029
0.150,0.147,0.031
0.160,0.157,0.033
0.170,0.166,0.035
0.180,0.176,0.037
0.190,0.186,0.039
0.200,0.196,0.041
0.210,0.206,0.043
0.220,0.215,0.045
0.230,0.225,0.047
0.240,0.235,0.049
0.250,0.245,0.051
0.260,0.254,0.053
0.270,0.264,0.055
0.280,0.274,0.057
0.290,0.284,0.059
0.300,0.294,0.062
0.310,0.303,0.064
0.320,0.313,0.066
0.330,0.323,0.068
0.340,0.333,0.070
0.350,0.343,0.072
0.360,0.352,0.074
0.370,0.362,0.076
0.380,0.372,0.078
0.390,0.382,0.080
0.400,0.391,0.082
0.410,0.401,0.084
0.420,0.411,0.086
0.430,0.421,0.088
0.440,0.431,0.090
0.450,0.440,0.092
0.460,0.450,0.094
0.470,0.460,0.096
0.480,0.470,0.098
0.490,0.480,0.101
0.500,0.489,0.103
0.510,0.499,0.105
0.520,0.509,0.107
0.530,0.519,0.109
0.540,0.529,0.111
0.550,0.538,0.113
0.560,0.548,0.115
0.570,0.558,0.117
0.580,0.568,0.119
0.590,0.577,0.121
0.600,0.587,0.123
0.610,0.597,0.125
0.620,0.607,0.127
0.630,0.617,0.129
0.640,0.626,0.131
0.650,0.636,0.133
0.660,0.646,0.135
0.670,0.656,0.137
0.680,0.666,0.140
0.690,0.675,0.142
0.700,0.685,0.144
0.710,0.695,0.146
0.720,0.705,0.148
0.730,0.714,0.150
0.740,0.724,0.152
0.750,0.734,0.154
0.760,0.744,0.157
0.770,0.753,0.160
0.780,0.762,0.164
0.790,0.771,0.168
0.800,0.780,0.173
0.810,0.788,0.179
0.820,0.796,0.185
0.830,0.804,0.192
0.840,0.811,0.199
0.850,0.817,0.206
0.860,0.823,0.214
0.870,0.829,0.223
0.880,0.833,0.231
0.890,0.838,0.240
0.900,0.841,0.250
0.910,0.844,0.259
0.920,0.847,0.269
0.930,0.848,0.279
0.940,0.850,0.289
0.950,0.850,0.299
0.960,0.850,0.309
0.970,0.849,0.319
0.980,0.847,0.329
0.990,0.845,0.338
1.000,0.842,0.348
1.010,0.839,0.357
1.020,0.835,0.366
1.030,0.830,0.375
1.040,0.825,0.384
1.050,0.819,0.392
1.060,0.812,0.399
1.070,0.805,0.407
1.080,0.798,0.413
1.090,0.790,0.420
1.100,0.782,0.426
1.110,0.774,0.431
1.120,0.765,0.435
1.130,0.756,0.439
1.140,0.746,0.443
1.150,0.737,0.447
1.160,0.728,0.450
1.170,0.718,0.454
1.180,0.709,0.458
1.190,0.700,0.461
1.200,0.690,0.465
1.210,0.681,0.468
1.220,0.672,0.472
1.230,0.662,0.476
1.240,0.653,0.479
1.250,0.644,0.483
1.260,0.634,0.487
1.270,0.625,0.490
1.280,0.616,0.494
1.290,0.606,0.497
1.300,0.597,0.501
1.310,0.588,0.505
1.320,0.579,0.508
1.330,0.569,0.512
1.340,0.560,0.516
1.350,0.551,0.519
1.360,0.541,0.523
1.370,0.532,0.527
1.380,0.523,0.530
1.390,0.513,0.534
1.400,0.504,0.537
1.410,0.495,0.541
1.420,0.485,0.545
1.430,0.476,0.548
1.440,0.467,0.552
1.450,0.457,0.556
1.460,0.448,0.559
1.470,0.439,0.563
1.480,0.430,0.567
1.490,0.421,0.572
1.500,0.413,0.578
1.510,0.405,0.584
1.520,0.397,0.591
1.530,0.390,0.598
1.540,0.384,0.605
1.550,0.378,0.613
1.560,0.372,0.621
1.570,0.367,0.630
1.580,0.363,0.639
1.590,0.359,0.648
1.600,0.356,0.658
1.610,0.354,0.668
1.620,0.352,0.677
1.630,0.351,0.687
1.640,0.350,0.697
1.650,0.350,0.707
1.660,0.351,0.717
1.670,0.352,0.727
1.680,0.355,0.737
1.690,0.357,0.747
1.700,0.361,0.756
1.710,0.365,0.765
1.720,0.370,0.774
1.730,0.375,0.783
1.740,0.381,0.791
1.750,0.387,0.798
1.760,0.394,0.806
1.770,0.401,0.813
1.780,0.409,0.819
1.790,0.417,0.825
1.800,0.425,0.830
1.810,0.434,0.835
1.820,0.443,0.839
1.830,0.453,0.842
1.840,0.462,0.845
1.850,0.472,0.847
1.860,0.482,0.849
1.870,0.492,0.850
1.880,0.502,0.850
